Action_Theme,Broad_Action,Habitat,Species,Method,Description,Source,Link
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Reduce the intensity of farmland meadow management,Delay the first cut (until later in the summer) and little agrochemical use,Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Reduce the grazing intensity on pastures,Reduce to light grazing (1.5 cattle per ha) as opposed to intensively grazed (5.5 cattle per ha). If possible remove grazing pressure (0 cattle per ha),Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Alter mowing regimes on greenspaces and road verges,"Mow once or twice per year, remove cuttings",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Manage hedgerows to benefit wildlife,"Don't spray, fill gaps, lay new hedgerows, plant hedgerows with a more complex structure, keep height, reduce cutting (1-3 years, at specific times of year), reduce mowing at base",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Plant new hedges,"Follow established guidelines, plant with trees (oak, blackthorn, gorse)",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Protect in-field trees,"Don't remove in-field trees, plant new in-field trees",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Plant grass buffer strips/margins around arable or pasture fields,"Reduce nutrient run off and provide habitat corridor, option to sow wildflower in addition to grass",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Increase crop diversity across a farm or farmed landscape,"Plant different crops, especially those with differences in flowering/harvesting time to prolong resources",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Leave unharvested crop headlands within arable fields,Stagger harvesting so that resources are retained for pollinators for longer,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,"Undersow spring cereals, with clover (ex.)",Undersow cereals with plants such as clover which fix nitrogen and reduce the need to apply fertiliser - while also providing food resources for invertebrates,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Create beetle banks,Create raised grassy strops running through the centre of arable fields. Beetles can control pest species but habtiat created also supports other invertebrates,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Reduce grazing intensity on grassland by seasonal removal of livestock,Remove livestock for part of the year - rotate livestock within the overall farmland,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Use rotational mowing,"Mow different plots at different times of year, so that some patches are uncut, some are transitional and some are cut",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Raise the cutting heights on grassland,Raise the cutting height by a few centimetres to allow individuals underneath the mower to survive/more resources available,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Peatland,Invertebrates,Maintain or restore traditional water meadows and bogs,"Raise water levels, cut scrub, reintroduce grazing",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Heathland,Invertebrates,Maintain upland heath,"Reduce grazing pressure, switch to low intensity cutting, allow vegetation to recover",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a positive way for native species,All,Invertebrates,Remove or change turbine lighting to reduce insect attraction,"Shorter wavelength light (e.g., UV, blue & green) is more attractive than longer wavelengths (red & yellow)",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a positive way for native species,All,Invertebrates,Change turbine colour to reduce insect attraction,White and grey have been found to be more attractive to butterflies on bats - little on evidence on which colours are less attractive,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Exposed rock and disturbed ground,Invertebrates,Restore or create new habitats after mining and quarrying,"Restoration can include introducing soil or nutrients, planting desired vegetation communities, flooding areas or landscaping new features. 'Technical reclamation - surface flattened by machinery, fertile soil is added and sown with herbs & planted with trees",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a positive way for native species,Grassland,Invertebrates,Restore land under powerlines,"Powerlines suppress growth of woody species, manging this area can create corridors and connectivity",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a positive way for native species,Woodland,Invertebrates,Use selective or reduced impact loggining instead of conventional logging,"Remove trees based on pre-determined criteria (e.g., diameter, heights, clearcutting) to minimize disturbance ",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a positive way for native species,Woodland,Invertebrates,Retain riparian buffer strips during timber harvest,Do not remove river edges to mitigate effects of habitat loss and perserve habitat,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Woodland,Invertebrates,Create or retain deadwood in forest management,Keep deadwood in the environment to support a more diverse ecosystem,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Invasive species,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",All,Invertebrates,Remove or control non-native plants,"Removal by hand, with machinery, by targeted herbicide application",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Invertebrates,"Remove, control or exclude vertebrate herbivores",Reduce populations or establish populations ,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Invertebrates,"Remove, control or exclude vertebrate herbivores",Reduce populations or establish populations ,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Invertebrates,"Remove, control or exclude vertebrate herbivores",Reduce populations or establish populations ,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",All,Invertebrates,Restrict certain pesticides or other agricultural chemicals,"Do not use of dangerous, harmful chemcials",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Implement nature-based solutions around the site,Grassland,Invertebrates,"Provide buffer strips to reduce pesticide and nutrient run-off into margins, waterways and ponds",3m wide margins established next to water bodies,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",Exposed rock and disturbed ground,Invertebrates,Stop using herbicides on pavements and road verges,Prevent use along roads and verges,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a positive way for native species,All,Invertebrates,Use low intensity lighting,"Fewer species attracted to low intensity lights, reducing impact to moths",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create habitat corridors between existing habitats,Grassland,Invertebrates,Retain connectivity between habitat patches,Leave corridors of habitat connecting the same habitat type for invertebrates to travel along,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create habitat corridors between existing habitats,Woodland,Invertebrates,Retain connectivity between habitat patches,Leave corridors of habitat connecting the same habitat type for invertebrates to travel along,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create habitat corridors between existing habitats,Peatland,Invertebrates,Retain connectivity between habitat patches,Leave corridors of habitat connecting the same habitat type for invertebrates to travel along,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Restoration,Identify opportunities to restore habitats ,Grassland,Invertebrates,Replant native vegetation,Investigate the potential to replant host plants of targeted species of butterfly etc. ,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Restoration,Identify opportunities to restore habitats ,Woodland,Invertebrates,Replant native vegetation,Investigate the potential to replant host plants of targeted species of butterfly etc. ,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Restoration,Identify opportunities to restore habitats ,Peatland,Invertebrates,Replant native vegetation,Investigate the potential to replant host plants of targeted species of butterfly etc. ,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Restoration,Restore hedgerows around the site to improve ecological connectivity ,Grassland,Invertebrates,Restore or create habitat connectivity,Restoring habitat connectivity across the landscape is important to for reconnecting isolated populations - most beneficial when spatially targeted.,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create pockets of new habitat throughout the site,Woodland,Invertebrates,Restore or create forest or woodland,Replant areas that were formally plantation woodland with native broadleafs,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Restoration,Identify opportunities to restore habitats ,Woodland,Invertebrates,Replace non-native species of tree/shrub with native species,"Replant non-native species with native species, which can often support a greater abundance and species richness of catepillars.",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create pockets of new habitat throughout the site,Woodland,Invertebrates,Clear or open patches in forests,Open new patches in the forest to create new habitats within the larger area,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Invertebrates,Coppice woodland,"Coppicing is a traditional woodland management technique, used to harvest the young, fast-growing stems of particular tree species (e.g., hazel). Repeatedly fell trees at the base and allow them to regrow for a number of years.",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Invertebrates,Thin trees within forests,Selective removal of trees to reduce tree density & improve growth of remaining trees. Benefits biodiversity by removing some of the canopy.,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Invertebrates,Manage woodland edges for maximum habitat heterogeneity,"Butterflies and catepillars often have different habitat requirements but poor dispersall. Edges provide open habitat and when have more varied structure - create vriation by felling, encouraging scrub growth or 'scalloping' to increase the length of the edge. ",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Heathland,Invertebrates,Manage heathland by cutting,Clearing small areas at appropriate times of year to introduce heterogeneity.,Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Restoration,Restore and rehabilitate peatland habitats,Peatland,Invertebrates,Restore or create peatland,"Raise the water table to rewet the surface peat, and create a hydrological buffer zone by rewetting the area that surrounds the peatland. Raising the water table can be done through blocking drainage ditches, planting flood-resistant vegetation, blocking channels, building raised embankments to retain water, inserting damsbelow the peat surface, switching off drainage pumps, felling trees or restoring inflows. ",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Wetlands,Invertebrates,Manage wetlands or ponds by grazing or cutting to prevent succession,"Wetlands require disturbance to prevent succession into scrub or woodland. Cutting or mowing wetlands, or grazing with domestic livestock to replace natural disturbance regimes. Timing is important. ",Butterfly and Moth Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=46
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,Mammals,Establish wildflower areas on farmland,Set aside areas for wildflowers to grow to create habitat for small mammal species,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Habitat Creation ,Create pockets of new habitat throughout the site,Grassland,Mammals,Create uncultivated margins around intensive arable or pasture fields,"Allow field margin vegetation to regenerate naturally, not fertilised and reduce cuttign",Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Mammals,Provide or retain set-aside areas on farmland,"Set-aside can be roatational (in a different place every year or two or non-rotational (same place for 5-20 years), fields can be sown with fallow crops or left to naturally generate. ",Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Restoration,Restore hedgerows around the site to improve ecological connectivity ,Grassland,Mammals,Plant new or maintain existing hedgerows on farmland,Maintain and manage hedgerows in a biodiversity friendly approach to provide resources and transport corridors for mammals,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Mammals,Plant trees on farmland,Plant trees across farmland to introduce heterogeneity and provide undisturbed habitat,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Mammals,Exclude livestock from semi-natural habtiat,Prevent livestock from grazing semi-natural habitats such as by fencing off areas,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Mammals,Reduce intensity of grazing by domestic livestock,"Reduce the number of livestock grazing on the land, lower stocking density",Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a positive way for native species,Grassland,Mammals,Use livestock fences that are permeable to wildlife,Fences for livestock or wild herbivores can act as barriers to non-target species - ensure fences have gaps for small mammals to move through,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Restoration,Restore and rehabilitate peatland habitats,Peatland,Mammals,Restore former mining sites,"Restoration of former mining sites usually involves establishing native plants, with the aim of reducing erosion or concentration of pollutants",Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a positive way for native species,All,Mammals,Install tunnels/culverts/underpass under roads,"There are purpose-built wildlife tunnes, culverts that assist with drainage can also be used by wildlife. Ledges can be places on the sides of culverts so that animals can pass through (as some animals won't use a culvert due to water at the base).",Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Mammals,Retain/maintain road verges as small mammal habitat,"Roadside verges that are maintained without pesticides, reduced mowing etc. can provide habitat for small mammals",Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",Wetlands,Mammals,Provide mammals with escape routes from water features,"Mammals may struggle to get out if the fall in or enter a water feature. Include ramps, ladders, shallow inlets, gentle side slopes so that mammals can get out.",Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Mammals,Use selective harvesting instead of clearcutting,By not clearcutting you retain some habtiat for mammals to still use. ,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a positive way for native species,Woodland,Mammals,Retain understorey vegetation within plantations,Retain the understorey when planting as it can provide resources for mammals.,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a positive way for native species,Woodland,Mammals,Gather coarse woody debris into piles after felling,Coarse woody debris consists of fallen dead trees and cut branches that are left during tree harvesting. Gathering into piles as a single point or  a line across the forest floor can increase structural diversity,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Habitat Creation ,Create habitat corridors between existing habitats,Woodland,Mammals,Retain wildlife corridors in logged areas,Leave corridors of natural unharvested vegetation for mammals to travel along in felled areas,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a positive way for native species,Woodland,Mammals,Harvest timber outside mammal reproduction period,Plan timber harvesting when young are at their most vulnerable as to reduce direct casualties of felling operations,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",All,Mammals,Reduce pesticide or fertiliser use,Reduce use as chemicals can have effects directly or indirectly on mammal populations.,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Habitat Creation ,Create habitat corridors between existing habitats,Grassland,Mammals,Create or maintain corridors between habitat patches,Ensure corridors are available between same habtiat types so animals can disperse between. ,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Grassland,Mammals,Provide artificial refuges/breeding sites,Provide artificial dens or nesting boxes around the site in suitable habitats,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a biodiversity-friendly way - creating space for biodiversity,Woodland,Mammals,Provide artificial refuges/breeding sites,Provide artificial dens or nesting boxes around the site in suitable habitats,Terrestrial Mammal Conservation ,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=36
Management,Manage in a positive way for native species,Peatland,Flora,Reduce stocking density of livestock on peatlands,"If there are signs of trampling, grazing is too high and grazing level should be reduced. Grazing a bog with appropriately low numbers and types of stock/herbivores, tall heathre, shrubs, and rushes will be lightly browsed, which will keep light penetration to the moss layer, allowing Sphagnum growth. See https://www.nature.scot/doc/peatland-action-peatland-management-guidance-grazing-and-muirburn for stocking density guidelines.",NatureScot Peatland Action Technical Compendium,https://www.nature.scot/doc/peatland-action-technical-compendium
Restoration,Restore and rehabilitate peatland habitats,Peatland,Flora,Restore artificial drains,"Raise the water table, create shallow pools and allow excess water to seep out of the pools across the peatland. Many options including peat dams, plastic piling dams, composite dams, wooden, metal or stone dams, drain reprofiling in combination with drain blocking, wave dams, zipping. Proper technical guidance should be followed and the technique used should be based on peat depth, depth of the drains, slope, accessibility and other factors of the site. Advice can be found at: https://www.nature.scot/doc/peatland-action-technical-compendium-restoration-4-artificial-drains",NatureScot Peatland Action Technical Compendium,https://www.nature.scot/doc/peatland-action-technical-compendium
Restoration,Restore and rehabilitate peatland habitats,Peatland,Flora,"Use bunding techniques to stop subsurface flow and water loss from an area, or to stop flow of water to reduce water loss and erosion.","Many techniques available for raised bog, such as deep bunding, used for cracks and pipes in deep layers of pear or hold rainflow and slow lateral movement of water, methods incl. trench bunding or back-filled trenches. Surface nunding is used where there is a need to impede and/or distrupt surface flow over bare peat, methods include cell bunding, fish=scale or scallop bunding, finger tie backs, gully bunds/blocking. Seek technical advice at: https://www.nature.scot/doc/peatland-action-technical-compendium-restoration-5-bunding-intervention",NatureScot Peatland Action Technical Compendium,https://www.nature.scot/doc/peatland-action-technical-compendium
Restoration,Restore and rehabilitate peatland habitats,Peatland,Flora,Slow the flow of water through gully and bare peat restoration. Methods include using surface bunds in gullies. For very deep gullies with high flows of water stone dams can be used.,"The surface bund method uses surface bunds to slow the flow of water through a gully, and can facilitate revegetation. Material for bunds can be site-specific. Stone dams are used when erosion is down to the mineral layer, or where peat is less than 50 cm deep. See https://www.nature.scot/doc/peatland-action-technical-compendium-restoration-6-flow-management for best practice.",NatureScot Peatland Action Technical Compendium,https://www.nature.scot/doc/peatland-action-technical-compendium
Restoration,Restore and rehabilitate peatland habitats,Peatland,Flora,"Stablilise and revegetate gullies and bare peat, as actively eroding and exposed bare peat is inhospitable for plants to grow, many methods can be used to restore bare peat to more stable condition and to restore peat-forming habitats.","Methods include reprofiling hags, gullies or peat banks; Mulching to re-vegetate gullies, peat pans and micro-erosion; textile application to revegetate gullies, peat pans and micro-erosion; whole turving; reinstate borrow pits and donor turf sites; transplant propagules; use nurse grass seeds mixed with peatland species seeds or mulch. For advice see: https://www.nature.scot/doc/peatland-action-technical-compendium-restoration-7-stabilisation-and-revegetation",NatureScot Peatland Action Technical Compendium,https://www.nature.scot/doc/peatland-action-technical-compendium
Restoration,Restore and rehabilitate peatland habitats,Peatland,Flora,Harvest trees on peatland,Recover as much timber as possible. Follow advice from: https://www.nature.scot/doc/peatland-action-technical-compendium-restoration-8-forest-bog-restoration,NatureScot Peatland Action Technical Compendium,https://www.nature.scot/doc/peatland-action-technical-compendium
Restoration,Restore and rehabilitate peatland habitats,Peatland,Flora,Block furrows that were created during forestry activities in order to raise the water table and stop erosion.,"Can be done similar to drain blocking and drain reprofiling, or can use timber trunks and brash left over from tree felling. Follow advice from: https://www.nature.scot/doc/peatland-action-technical-compendium-restoration-8-forest-bog-restoration",NatureScot Peatland Action Technical Compendium,https://www.nature.scot/doc/peatland-action-technical-compendium
Restoration,Restore and rehabilitate peatland habitats,Peatland,Flora,Smooth the ground to remove ridges and furrows on previously afforested sites and to create a flatter topography similar to near natural peatlands. ,"This can include stump flippings, furrow reprofiling following furrow blocking, and cross-tracking. Follow advice from: https://www.nature.scot/doc/peatland-action-technical-compendium-restoration-8-forest-bog-restoration",NatureScot Peatland Action Technical Compendium,https://www.nature.scot/doc/peatland-action-technical-compendium
Restoration,Restore and rehabilitate peatland habitats,Peatland,Flora,Remove scrub to return peatland to an open habitat.,"Methods of scrub removal depend on the level of scrub, i.e., light, intermediate, and heavy. For definitions and methods: https://www.nature.scot/doc/peatland-action-technical-compendium-restoration-9-scrub-removal",NatureScot Peatland Action Technical Compendium,https://www.nature.scot/doc/peatland-action-technical-compendium
Habitat Creation ,Create habitat corridors between existing habitats,Woodland,Birds,Ensure connectivity between habitat patches,Retain or creat corridors between forest patches,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Habitat Creation ,Create habitat corridors between existing habitats,Woodland,Birds,Provide or retain un-harvested buffer strips,Wider buffer strips provide corridors and resources for birds in woodland habitats in areas where trees are being felled.,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Birds,Increase the proportion of natural/semi-natural vegetation in the farmed landscape.,"Increase the natural vegetation within farmland, through hedgerow management, reducing management interventionson field margins and road verges, Hare's Corner etc. ",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Birds,Pay farmers to cover the costs of conservation.,Similar to Agri-Environment Schemes that have shown success in inputting conservation measures into argricultural environments.,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Encourage farmers to engage with biodiversity-friendly management,Grassland,Birds,Provide or retain set-aside areas on farmland,Set aside areas can be sown with fallow crops or left to naturally regenerate and they can be rotational or long-term. ,Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Management,Manage hedgerows in a biodiversity-friendly manner,Grassland,Birds,Manage hedgerows to benefit wildlife,"Reduce cutting frequency, reduce or avoid spraying, mowing vegetation beneath hedgerows and fill gaps in hedgerows. ",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
Restoration,Restore hedgerows around the site to improve ecological connectivity ,Grassland,Birds,Plant new hedges,"Plant new hedgerows connecting habitats, following appropriate guidelines",Bird Conservation,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=43
