Count,Action_Type,BAP_Type,County_Area_Organisation,BAP,Action,Action type,Notes,Relevant,Sites
29,Management ,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,"Promote local seed collection by qualified professionals,  including for new developments, in order to keep seed sources local",Manage in a positive way for native species,Protecting biodiversity,*,All
30,Habitat creation,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Develop habitats for reptiles and amphibians which also provide habitat for other species,Create/Improve pond habitats,Protecting biodiversity,*,All
31,Biodiversity awareness (external),County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,"Provide education and raise awareness of biodiversity and ecosystem services among the public, decision-makers and educators",Implement an education programme with local schools,Connecting people & nature,*,All
32,Biodiversity awareness (external),County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,"Organise activities and events to promote biodiversity, ecosystems and ecosystem services","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",Connecting people & nature,*,All
33,Citizen science,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Establish and promote positive examples of cooperative local community biodiversity projects or demonstration models,"Promote initiatives that involve citizen science, especially involving the local community",Connecting people & nature,*,All
34,Biodiversity awareness (external),County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Provide education and raise awareness of the impacts of climate change on biodiversity,Implement an education programme with local schools,Connecting people & nature,*,All
35,Biodiversity awareness (external),County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Engage with local communities and business communities to develop local biodiversity projects,Work with the local community to promote biodiversity projects on site and within the local area,Working together,*,All
36,Biodiversity awareness (external),County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Carry out a study of marine ecosystems and develop marine ecosystem restoration projects with Biosphere Partners,Advertise and raise awareness of biodiversity actions within and beyond the sector ,Working together,*,CA
37,Management ,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Work with LAWPRO to develop ways to protect and enhance river wildlife corridors and waterway ecosystems,"Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",Working together,*,All
38,Biodiversity monitoring,County Council,South Dublin County Council,Connecting with Nature Draft Biodiversity Action Plan for South Dublin County 2020-2026,Map the distribution of the habitats and species in the County,Undertake surveys to identify habitats and species to understand what is on site,Getting to know the biodiversity,*,All
39,Invasive species,County Council,South Dublin County Council,Connecting with Nature Draft Biodiversity Action Plan for South Dublin County 2020-2026,Map and manage the spread of non-native invasive species,Identify and map the locations of invasive species,Getting to know the biodiversity,*,All
40,Biodiversity monitoring,County Council,South Dublin County Council,Connecting with Nature Draft Biodiversity Action Plan for South Dublin County 2020-2026,Survey and map wetlands in the County,Undertake surveys to identify habitats and species to understand what is on site,Getting to know the biodiversity,* ,All
41,Biodiversity monitoring,County Council,South Dublin County Council,Connecting with Nature Draft Biodiversity Action Plan for South Dublin County 2020-2026,Map the County's hedgerow network and identify key Green Infrastructure links,Undertake surveys to identify habitats and species to understand what is on site,Getting to know the biodiversity,*,All
42,Data management,County Council,South Dublin County Council,Connecting with Nature Draft Biodiversity Action Plan for South Dublin County 2020-2026,Prepare a GIS database (or similar) to host-biodiversity evidence base,Provide a central database for biodiversity data to be stored and easily accessed,Getting to know the biodiversity,*,All
43,Biodiversity awareness (external),County Council,South Dublin County Council,Connecting with Nature Draft Biodiversity Action Plan for South Dublin County 2020-2026,"Develop a Biodiversity Communications Strategy, to celebrate and promote the enjoyment and protection of nature in South Dublin County, promoting engagement with national initiatives and events",Develop a Biodiversity Communications strategy,Telling the story,*,All
44,Biodiversity awareness (external),County Council,South Dublin County Council,Connecting with Nature Draft Biodiversity Action Plan for South Dublin County 2020-2026,"Support rural and urban communities to undertake local biodiversity projects, training, and citizen science, encouraging appropriate initiatives that protect biodiversity while benefiting local economies",Work with the local community to promote biodiversity projects on site and within the local area,Telling the story,*,All
45,Management ,County Council,Carlow County Council,Carlow Biodiversity Action Plan 2023-2028 (Draft?),"To support initiatives under the Water Framework Directive that contribute to the restoration of ecology in water bodies, including measures to support fish migration","Manage existing water features (ponds, lakes, rivers) in a biodiversity-friendly manner",To rehabilitate,*,All
46,Restoration,County Council,Carlow County Council,Carlow Biodiversity Action Plan 2023-2028 (Draft?),To identify opportunities to restore species-poor hedgerows into species-rich hedgerows,Restore hedgerows around the site to improve ecological connectivity ,To rehabilitate,*,All
47,Invasive species,County Council,Carlow County Council,Carlow Biodiversity Action Plan 2023-2028 (Draft?),To control Invasive Species across Carlow,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",To rehabilitate,*,All
48,Habitat creation,County Council,Carlow County Council,Carlow Biodiversity Action Plan 2023-2028 (Draft?),"To identify opportunities for habitat creation in areas of low biodiversity (e.g., nature-based SUDs in green spaces)",Create pockets of new habitat throughout the site,To enhance,*,All
49,Biodiversity awareness (external),County Council,Carlow County Council,Carlow Biodiversity Action Plan 2023-2028 (Draft?),To facilitate schools and communities to deliver pollinator and other biodiversity initiatives,Implement an education programme with local schools,To enhance,*,All
50,Management ,County Council,Carlow County Council,Carlow Biodiversity Action Plan 2023-2028 (Draft?),To implement a pesticide reduction strategy within Carlow County Council,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",To adopt biodiversity-friendly policies,*,All
51,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Engage with the community using an inclusive approach,Work with the local community to promote biodiversity projects on site and within the local area,Community engagement,*,All
52,Citizen science,County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Promote and facilitate citizen science - encourage and equip groups to take place in national citizen science campaigns,"Promote initiatives that involve citizen science, especially involving the local community",Community engagement,*,All
53,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Develop local biodiversity and natural heritage plans with communities,Work with the local community to promote biodiversity projects on site and within the local area,Community engagement,*,CL; AD
54,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Develop practical conservation and restoration projects and encourage communities to become involved in the management of sites of local biodiversity interest,Work with the local community to promote biodiversity projects on site and within the local area,Community engagement,*,CL; AD
55,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Encourage and support communities to apply for funding through Galway County Council and other agencies for biodiversity and natural heritage projects,Work with the local community to promote biodiversity projects on site and within the local area,Community engagement,*,CL; AD
56,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Encourage communities to work in partnership with various agencies on biodiversity and natural heritage projects,Work with the local community to promote biodiversity projects on site and within the local area,Community engagement,*,CL; AD
57,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,"Highlight, promote and assist the work of community groups through website, social or other media",Work with the local community to promote biodiversity projects on site and within the local area,Community engagement,*,All
58,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Produce guidance notes for community groups undertaking biodiversity or natural heritage projects on issues that need to be considered before embarking on a project,Work with the local community to promote biodiversity projects on site and within the local area,Community engagement,*,All
59,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Facilitate interactive sharing and community based learning between different groups,Work with the local community to promote biodiversity projects on site and within the local area,Education & training,*,CL; AD
60,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,"Assist in the development of biodiversity and natural heritage skills - for communities, volunteer organisations and GCC personnel ranging from species identification and recording to practical conservation activities","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",Education & training,*,All
61,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,"Assist the business and industry sector with biodiversity and natural heritage education and training e.g., in the areas of ecotourism, geotourism, sustainable resource management, natural capital",Advertise and raise awareness of biodiversity actions within and beyond the sector ,Education & training,*,CL; AD
62,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,"Assist schools, third level and vocational training centres with biodiversity and natural heritage projects for the benefit of nature and the wider school community",Implement an education programme with local schools,Education & training,*,All
63,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Seek to share information with relevant organisations and agencies,Develop a Biodiversity Communications strategy,Research & Information,*,All
64,Biodiversity awareness (internal),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Integrate biodiversity and natural heritage into relevant aspects of the work of Galway Co Council,"Ensure biodiversity it incorporated into all aspects of work, including landowners ","People, Property and Works",*,All
65,Biodiversity awareness (internal),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Policy: ensure biodiversity and natural heritage are considered at earliest stages in the development of new plans and strategy documents,"Ensure biodiversity it incorporated into all aspects of work, including landowners ","People, Property and Works",*,All
66,Biodiversity awareness (internal),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,Projects: promote the integration of biodiversity into work plans and developments at earliest (design) stage of projects,"Ensure biodiversity it incorporated into all aspects of work, including landowners ","People, Property and Works",*,All
67,Biodiversity awareness (external),County Council,Galway County Council,Galway County Heritage and Biodiversity Plan 2017-2022,"Encourage dialogue between stakeholders and relevant government departments and agencies regarding congflicting legislation, policies and practices relating to land use and management",Advertise and raise awareness of biodiversity actions within and beyond the sector ,Stakeholder engagement,*,CL; AD
68,Management ,County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,"Only where appropriate and possible, and in consultation with any relevant stakeholder, supportand promote rewilding to restore and repair damaged ecosystems",Manage in a biodiversity-friendly way - creating space for biodiversity,Obj.1,*,All
69,Management ,County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,Develop a LA tree management strategy to include best practices guidelines in the management of hedgerows/trees on public lands by the LA,Manage hedgerows in a biodiversity-friendly manner,Obj.2,*,All
70,Management ,County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,The use of pesticides/herbicides should only be used in exceptional circumstances including for the treatment of invasive species where other methods have proven to be unviable by Kerry County Council over the period of the plan,"Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",Obj.2,*,All
71,Biodiversity awareness (internal),County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,Any works to be undertaken by KCC in the drainage and/or maintenance of waterbodies will be environmentally assessed,"Ensure biodiversity it incorporated into all aspects of work, including landowners ",Obj.2,*,All
72,Management ,County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,Ensure that Flood Risk Management (FRM) planning aims to prioritise policies to promote nature-based solutions/natural water retention measures,Implement nature-based solutions around the site,Obj.2,*,All
73,Management ,County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,"Support Green and Blue Infrastructure at appropriate locations in the county and increase connectivity of the protected areas network using appropriate buffer zones, corridors, stepping-stones and/or flyways",Implement nature-based solutions around the site,Obj.3,*,All
74,Management ,County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,"Where possible, support nature-based solutions to tackling climate change",Implement nature-based solutions around the site,Obj.3,*,All
75,Invasive species,County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,"Continue to enhance measures for eradication where feasible, control and containment of invasive species as listed in Schedule 3 of the European Communities Regulations 2011, in consultation with other partners","Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Obj.3,*,All
76,Biodiversity awareness (external),County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,Support community groups with funding; advice or other initiatives,Work with the local community to promote biodiversity projects on site and within the local area,Obj.3,*,All
77,Biodiversity awareness (external),County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,Support community groups seeking to undertake biodiversity projects at appropriate locations and further to environmental assessment,Work with the local community to promote biodiversity projects on site and within the local area,Obj.4,*,All
78,Biodiversity awareness (internal),County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,LA staff have an increased awareness of biodiversity within the roles; responsibilities and functions of the LA,Provide training to staff on biodiversity & best practice,Obj.5,*,All
79,Biodiversity awareness (external),County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,Engage with local communities and stakeholders to help achieve the objectives of this plan,Work with the local community to promote biodiversity projects on site and within the local area,Obj.5,*,All
80,Biodiversity awareness (external),County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,Support the annual celebration of Biodiversity Week in May centred on World Biodiversity Day,"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",Obj.5,*,All
81,Citizen science,County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,Support and encourage the volunteer network and local community to carry out biological recording and other citizen science projects,"Promote initiatives that involve citizen science, especially involving the local community",Obj.6,*,All
82,Data management,County Council,Kerry County Council,Draft Kerry County Development Plan 2022-2028: Biodiversity Action Plan,Ensure data collected by or on behalf of KCC meets common data standards and quality assurance procedures in line with the INSPIRE Directive and is provided to the NBDC,Ensure data collected meets data standards and follows relevant guidelines,Obj.6,*,All
83,Data management,County Council,Kildare County Council,County Kildare Biodiversity Action Plan 2009-2014,Support and promote the collection of biological data and the logging of these data in the National Biodiversity Data Centre,Submit data to the National Biodiversity Data Centre and other relevant organisations,Obj.1,*,All
84,Biodiversity monitoring,County Council,Kildare County Council,County Kildare Biodiversity Action Plan 2009-2014,Support county-based Marsh Fritillary surveys and the development a Marsh Fritillary conservation plan,Establish monitoring for species/habitats that are under threat or keystone species,Obj.1,*,All
85,Management ,County Council,Kildare County Council,County Kildare Biodiversity Action Plan 2009-2014,"Identify important hedgerows in the county i.e., townland boundary hedgerows; ancient hedgerows; hedgerows that contain rare species and/or species-rich hedgerows; and seek to protect them",Manage hedgerows in a biodiversity-friendly manner,Obj.1,*,All
86,Biodiversity awareness (external),County Council,Kildare County Council,County Kildare Biodiversity Action Plan 2009-2014,Promote increased participation in the conservation of natural heritage by supporting community-led projects including Tidy Towns biodiversity projects,Work with the local community to promote biodiversity projects on site and within the local area,Obj.2,*,All
87,Restoration,County Council,Kildare County Council,County Kildare Biodiversity Action Plan 2009-2014,Support efforts to identify areas of cutover and cutaway peatlands that could be suitable for creating natural reserves,Restore and rehabilitate peatland habitats,Obj.2,*,CL; AD; MO; ME
88,Management ,County Council,Kildare County Council,County Kildare Biodiversity Action Plan 2009-2014,Support initiatives that promote the conservation of biodiversity on farms,Encourage farmers to engage with biodiversity-friendly management,Obj.3,*,CA; TE; RI; RA
89,Biodiversity awareness (external),County Council,Kildare County Council,County Kildare Biodiversity Action Plan 2009-2014,Encourage the development of biodiversity walking trails,Develop walking trails or other visitor infrastructure to highlight biodiversity onsite,Obj.4,*,All
90,Restoration,County Council,Leitrim County Council,County Leitrim Biodiversity Action Plan 2022-2027,Undertake a wetland survey of the County and identify possible restoration sites,Restore and improve wetland and waterbody habitats,Improving knowledge of biodiversity,*,All
91,Habitat creation,County Council,Leitrim County Council,County Leitrim Biodiversity Action Plan 2022-2027,Encourage the creation of wildlife corridors and biodiversity enhancement along existing and new recreational trails in the county,Create habitat corridors between existing habitats,Protection of wildlife corridors and biodiversity  hotspots,*,All
92,Biodiversity monitoring/Citizen science,County Council,Leitrim County Council,County Leitrim Biodiversity Action Plan 2022-2027,Support local community groups to map and assess condition of local hedgerow and treelines and protect and/or restore hedgerows to good condition or plant new hedgerows/trees in community biodiversity plans,Involve citizen scientists in monitoring of habitats/species,Protection of wildlife corridors and biodiversity  hotspots,*,All
93,Biodiversity awareness (external),County Council,Leitrim County Council,County Leitrim Biodiversity Action Plan 2022-2027,"Provide practical training workshops for local communitites, outdoor recreational users, local employment scheme workers, local authority operatives and farmers","Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ","Promote biodiversity awareness, education & training",*,All
94,Biodiversity awareness (external),County Council,Leitrim County Council,County Leitrim Biodiversity Action Plan 2022-2027,Work with community groups and individuals to encourage biodiversity and Leave No Trace principles in their community-based projects,Work with the local community to promote biodiversity projects on site and within the local area,"Promote biodiversity awareness, education & training",*,All
95,Invasive species,County Council,Leitrim County Council,County Leitrim Biodiversity Action Plan 2022-2027,Provide training in land and water based invasive plant species identification and recording/mapping for community groups and relevant individuals,Identify and map the locations of invasive species,Tackling Invasive Species,*,All
96,Management ,County Council,Leitrim County Council,County Leitrim Biodiversity Action Plan 2022-2027,Promote sustainable environmentally friendly farming practices in Leitrim,Encourage farmers to engage with biodiversity-friendly management,Biodiversity & Climate Change,*,CA; TE; RI; RA
97,Management ,County Council,Leitrim County Council,County Leitrim Biodiversity Action Plan 2022-2027,Explore funding opportunities for development of on-farm biodiversity actions in Leitrim,Encourage farmers to engage with biodiversity-friendly management,Biodiversity & Climate Change,*,CA; TE; RI; RA
98,Biodiversity monitoring/Citizen science,County Council,Louth County Council,Local Biodiversity Action Plan for County Louth 2021-2026,"LCC will support, train and encourage staff, local communities and volunteers to carry out biological recording and other citizen science/conservation projects",Establish/Engage the local community or volunteer group that are interested in biodiversity monitoring,Obj.2,*,All
99,Biodiversity awareness (external),County Council,Louth County Council,Local Biodiversity Action Plan for County Louth 2021-2026,"LCC will engage landowners, farming and aquaculture sectors to promote to them the benefits of conservation and sustainable use of biodiversity",Advertise and raise awareness of biodiversity actions within and beyond the sector ,Obj.3,*,All
100,Biodiversity monitoring,County Council,Louth County Council,Local Biodiversity Action Plan for County Louth 2021-2026,"LCC will continue to protect, enhance and monitor the ecological status of water during the second cycle of the Water Framework Directive (2015-2021) including reducing risks to water quality and utilising ecological expertise in decision-making and in analysis of cumulative effects",Establish monitoring for species/habitats that are under threat or keystone species,Obj.4,*,All
101,Invasive species,County Council,Louth County Council,Local Biodiversity Action Plan for County Louth 2021-2026,"LCC will continue and enhance measures for eradication, where feasible and elsewhere for control and containment of invasive species listed in EU or Irish policy ","Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Obj.4,*,All
102,Management ,County Council,Louth County Council,Local Biodiversity Action Plan for County Louth 2021-2026,"LCC will endeavour to plant native species, where appropriate in order to reduce importation of non-native species and varieties ",Manage in a positive way for native species,Obj.4,*,All
103,Management ,County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,Develop and provide guidance on hedge planting and management for planning conditions. Run workshops on hedgerow management on demonstration farms and an annual hedgerow management competition,Manage hedgerows in a biodiversity-friendly manner,,*,All
104,Data management,County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,Encourage all developers and contractors commissioned to do EIAs and flora and fauna surveys to submit all biodiversity records collected as part of such surveys to the NBDC,Submit data to the National Biodiversity Data Centre and other relevant organisations,,*,All
105,Invasive species,County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,Continue to monitor alien invasive spevies in the County focusingn on the 'Dirty Dozen' and American Mink and Sea Buckthorn or other potential threats that may arise,Develop a plan for monitoring and managing invasive species,,*,All
106,Data management,County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,"Maintain a database to facilitate planning decisions, including species records from council surveys and other available sources, sites of county importance and past EIAs to better facilitate judgement on likely individual and cumulative impact of proposals",Provide a central database for biodiversity data to be stored and easily accessed,,*,All
107,Biodiversity monitoring/Citizen science,County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,"Provide bat survey training to community groups to include use of handheld bat detectors, development of impacts on bats, bat handling and how to locate and monitor summer and winter roosts to increase knowledge on bat species distribution in the County",Involve citizen scientists in monitoring of habitats/species,,*,All
108,Management ,County Council,Meath County Council,County Meath Biodiversity Action Plan 2015-2020,"Organise a workshop on the importance of pollinators and the safe application and minimal use of agrichemicals in accordance with EU best practice for the farming communit, bee keeping associations and allotment holders","Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",,*,All
